threshold,metric,mean,sd,ci95,n_runs
0.35,alerts_per_1000,284.0014979501735,18.19599220279968,11.277992810912243,10
0.42,alerts_per_1000,237.75425733207194,46.74589207800512,28.973404083691847,10
0.5,alerts_per_1000,348.81346578366447,19.338143773448124,11.985905688604252,10
0.35,auc,0.8247679068761318,0.001227421999904255,0.0007607640372996983,10
0.42,auc,0.8239883413942769,0.0022968611411234054,0.0014236092843163456,10
0.5,auc,0.8244675032468605,0.001551399271681722,0.0009615672307327584,10
0.35,f1,0.4585419211161543,0.0034635261265326942,0.002146715733887396,10
0.42,f1,0.4605689448576825,0.009301698818785738,0.005765252657747104,10
0.5,f1,0.4424833937154372,0.0056933550821298235,0.0035287780391745484,10
0.35,npv,0.9410019058116518,0.0033688901717759787,0.0020880597614345263,10
0.42,npv,0.9314181580447375,0.008716834882050307,0.0054027502341172946,10
0.5,npv,0.9518922701604552,0.0030757618475468636,0.0019063769437851505,10
0.35,ppv,0.34222414476171237,0.00981458282165396,0.006083141456154576,10
0.42,ppv,0.3690849721273957,0.025539804661793866,0.015829734930502774,10
0.5,ppv,0.30992336147505717,0.009023173495084087,0.005592620873596257,10
0.35,recall,0.6964209930683265,0.02523937109580651,0.015643524277101813,10
0.42,recall,0.6221955014853586,0.06546996000292342,0.04057870161815495,10
0.5,recall,0.774777196208799,0.0212282561206678,0.013157409458565205,10
0.35,spec,0.782762727002084,0.017080013163784668,0.010586301836390746,10
0.42,spec,0.8244807291547392,0.04383817528317362,0.027171182542663003,10
0.5,spec,0.7201433576842925,0.019052629828794847,0.011808942312310904,10
0.35,youden,0.47918372007041043,0.008538636464035142,0.005292301710349421,10
0.42,youden,0.44667623064009787,0.02347001222779055,0.014546864288956865,10
0.5,youden,0.49492055389309153,0.003227528983992511,0.002000443189510591,10
