threshold,metric,mean,sd,ci95,n_runs
0.35,alerts_per_1000,281.9023967202776,14.120961068573013,8.752262346542146,10
0.42,alerts_per_1000,255.07332071901607,59.256549190425645,36.72758969781613,10
0.5,alerts_per_1000,348.9041311888993,18.351346812945028,11.374282595873337,10
0.35,auc,0.8248595017792792,0.0014506920053895939,0.0008991482204039622,10
0.42,auc,0.8236922478637508,0.0023092155088331443,0.0014312666007550922,10
0.5,auc,0.8238018211381231,0.001722753753466773,0.0010677738388776032,10
0.35,f1,0.4591433238910382,0.003460765483397024,0.002145004669544733,10
0.42,f1,0.4572264061801824,0.010778095679004228,0.006680332912234992,10
0.5,f1,0.44211864523237915,0.005530890820163161,0.003428081646360736,10
0.35,npv,0.9406549615815862,0.0024529189950237406,0.0015203349442725843,10
0.42,npv,0.9344252262311278,0.010881332454122221,0.006744319728377029,10
0.5,npv,0.951781410178491,0.0030225072443927016,0.001873369398781465,10
0.35,ppv,0.34332854964863746,0.008112754524229769,0.005028337349302742,10
0.42,ppv,0.35894512533896566,0.031163818396579196,0.019315534757325163,10
0.5,ppv,0.3096145668196353,0.008572836335618879,0.005313499010367837,10
0.35,recall,0.6939171028434007,0.01861452730091324,0.011537403552301378,10
0.42,recall,0.6452539255906069,0.08074136521557013,0.05004401663264796,10
0.5,recall,0.7743245154901682,0.02059804465152659,0.012766800343155965,10
0.35,spec,0.7847962992648911,0.013420735082087312,0.008318257783692058,10
0.42,spec,0.8080907779329929,0.05583429355113603,0.03460645367693601,10
0.5,spec,0.7199647330936405,0.01805092010097652,0.011188076190637268,10
0.35,youden,0.47871340210829183,0.0057005121877332235,0.0035332140591861237,10
0.42,youden,0.4533447035235998,0.0258426598998836,0.016017446551823297,10
0.5,youden,0.49428924858380885,0.004814731027663137,0.002984201208225741,10
